name,length
Main Circle,206.084
Main Circle,146.391
Turtle Creek Circle,175.44000000000003
Avon Avenue,31.267
South Quinsigamond Avenue,155.90000000000003
South Quinsigamond Avenue,96.00300000000001
Jordan Road,167.655
,205.928
,163.926
Rolfe Avenue,62.092
South Street,14.599
South Street,265.875
Boston Turnpike,540.782
Walnut Street,38.118
South Street,37.33
,200.192
Boston Turnpike,347.504
Harrison Place,15.171
Odonnell Avenue,66.67699999999999
Odonnell Avenue,124.30200000000002
Swan Circle,142.228
,196.55499999999995
Chase Terrace,138.341
Main Street,63.056000000000004
Main Street,89.681
Main Street,55.605999999999995
Lamplighter Drive,61.572
Lamplighter Drive,127.26100000000002
Lamplighter Drive,449.61400000000003
Oak Street,12.082
Oak Street,110.613
Boston Turnpike,569.951
Eaglehead Terrace,209.428
North Quinsigamond Avenue,71.42999999999999
North Quinsigamond Avenue,24.918
,151.76299999999998
Shady Lane Avenue,173.519
Bellridge Drive,227.571
Shady Lane Avenue,71.495
Guinevere Circle,231.166
Acorn Street,86.809
Edgewater Avenue,60.847
Edgewater Avenue,135.51
Bumble Bee Circle,82.7
Whippoorwill Drive,259.81700000000006
Whippoorwill Drive,183.58599999999998
Ladyslipper Drive,415.9960000000001
Broushane Circle,177.712
Vega Drive,134.953
Vega Drive,127.965
Saturn Drive,104.196
Country Way,239.536
North Street,225.73000000000002
North Street,183.52800000000002
Russell Avenue,181.89100000000002
Lincoln Way,110.771
Flagg Road,154.01100000000002
Flagg Road,73.34
Pratt Lane,139.63
Pratt Lane,51.477
Birch Lane,196.785
Lincoln Avenue,71.828
Main Boulevard,268.10900000000004
Main Boulevard,43.351
Metcalf Road,33.068
Country Way,172.93600000000004
Country Way,239.53599999999997
Morningside Drive,239.27699999999993
Morningside Drive,174.09299999999996
Higgins Street,65.851
Holden Street,73.44200000000001
Holden Street,133.254
Commons Drive,31.015
,84.102
Commons Drive,47.22
Saint James Road,340.977
Maple Avenue,74.434
Maple Avenue,49.608000000000004
Lakeside Path,86.036
Clinton Street,160.391
Taft Road,134.777
Faulkner Road,117.088
Faulkner Road,220.084
Hawthorne Road,527.057
Prospect Street,22.895
Spring Street,96.093
Prospect Street,176.261
,675.3909999999998
Hartford Turnpike,1256.9360000000001
Hartford Turnpike,155.46699999999998
Centech Boulevard,211.723
Cherry Street,327.74399999999997
Robertson Drive,256.691
Stringer Dam Road,30.111
Stringer Dam Road,47.347
Harold Lane,81.405
Edgemere Boulevard,223.113
Edgemere Boulevard,117.199
Boston Turnpike,106.82000000000001
Fruit Street,324.131
Elm Street,62.117
Elm Street,29.784999999999997
Caroline Avenue,186.713
Country Way,54.312
Knollwood Drive,357.4390000000001
Main Circle,146.39100000000002
Main Circle,122.37700000000001
Red Coat Road,326.29800000000006
Flintlock Drive,270.863
Floral Street,138.858
Floral Street,141.243
Harriet Avenue,76.822
Harriet Avenue,559.014
Harriet Lane,98.56899999999999
Deer Run Drive,142.02800000000002
Audubon Drive,161.941
North Quinsigamond Avenue,83.79499999999999
North Quinsigamond Avenue,40.364000000000004
Wachusett Avenue,425.98299999999995
Wachusett Circle,261.965
Wachusett Circle,109.85399999999998
Westbrook Crossing Drive,12.103
Westbrook Crossing Drive,23.064
Westbrook Crossing Drive,47.196999999999996
South Quinsigamond Avenue,49.263999999999996
South Quinsigamond Avenue,182.567
Cedar Road,182.048
Farmington Drive,175.412
Beaver Drive,35.316
Beaver Drive,143.374
Westwood Road,285.683
Harrington Farms Way,40.984
Harrington Farms Way,44.047000000000004
Harrington Farms Way,255.748
Boston Turnpike,196.64399999999998
Maple Avenue,58.55
Maple Avenue,71.768
Essex Drive,22.957
Dewey Road,12.662
Dewey Road,241.55399999999997
Boston Turnpike,253.374
Dana Road,111.25999999999999
Deergrass Road,144.379
Deergrass Road,193.75000000000003
Colton Lane,32.87
Beaver Drive,143.374
Colton Lane,647.6230000000002
Main Street,166.55700000000002
,102.762
Wheelock Street,152.677
Gulf Street,444.01299999999986
Gulf Street,174.14099999999996
Main Street,29.947
Alden Avenue,188.251
Main Street,183.33599999999998
Birch Lane,56.382
Carriage Hill Road,228.107
Birch Lane,183.249
Round Table Road,91.383
Round Table Road,254.56599999999997
Guinevere Circle,231.16600000000005
Joseph Road,132.373
Round Table Road,150.26
Joseph Road,154.10399999999998
Westwood Road,170.775
Westwood Road,96.295
Surrey Lane,248.061
Worthington Avenue,41.893
Worthington Avenue,225.565
Bluegrass Lane,124.92
Commons Drive,21.421
Commons Drive,64.463
,84.102
Vancroft Avenue,126.036
Villa Road,70.429
Villa Road,100.608
Ashley Drive,23.233
Westbrook Crossing Drive,47.196999999999996
Westbrook Crossing Drive,78.206
Deerfield Road,130.774
Rawson Hill Drive,83.14
Rawson Hill Drive,587.5130000000001
Lake Street,47.311
Lake Street,64.622
Nelson Point Road,140.923
Rams Gate Place,73.488
Coachman Ridge Road,413.277
Coachman Ridge Road,207.91100000000006
Boston Turnpike,172.459
Thomas Farm Circle,124.744
Cherry Street,161.558
Cherry Street,133.22100000000003
East Avenue,43.264
,667.3
Boylston Street,281.267
Westmont Road,104.315
Westmont Road,85.93299999999999
Westmont Circle,207.79800000000003
South Street,359.7
South Street,602.5250000000001
,401.7730000000001
Shady Lane Avenue,173.519
Atwood Lane,84.293
Shady Lane Avenue,332.96399999999994
Deerfield Road,130.774
Deerfield Road,177.327
Birch Brush Road,539.5350000000001
Woodland Road,92.721
Woodland Road,91.68799999999999
Laurel Avenue,148.70600000000002
Manor Road,35.719
Manor Road,75.291
"['Millwood Drive', 'Manor Road']",596.4159999999999
North Quinsigamond Avenue,117.423
North Quinsigamond Avenue,13.402
Boston Worcester Turnpike,157.192
Harrington Farms Way,257.063
Harrington Farms Way,89.498
Harrington Farms Way,124.75500000000002
Sherwood Avenue,204.643
,295.367
,277.559
,384.506
Brightside Avenue,146.081
Maple Avenue,127.51900000000002
Maple Avenue,109.869
Prospect Street,83.834
Applewood Circle,85.49099999999999
Prospect Street,274.874
,15.325
,58.124
,20.400999999999996
Arnold Road,107.987
Estabrook Road,83.687
Estabrook Road,84.544
Westview Avenue,331.773
Main Street,139.817
Main Street,232.839
Chase Terrace,138.34099999999998
Keyes House Road,328.58
Keyes House Road,174.27599999999998
Carter Road,231.76299999999998
Hartford Turnpike,97.193
Lakeside Drive,153.846
Hartford Turnpike,185.264
Elm Street,19.174
Elm Street,16.71
,104.83000000000001
South Street,13.73
Old Laxfield Road,303.39399999999995
South Street,359.70000000000005
